These results were downloaded and refreshed on October   22, 2019 at 12:26 p.m. ET. / Ces résultats ont été téléchargés et rafraichis le 22 octobre 2019 à 12h26 HE.													
Electoral district number - Numéro de la circonscription	Electoral district name	Nom de la circonscription	Type of results*	Type de résultats**	Surname - Nom de famille	Middle name(s) - Autre(s) prénom(s)	Given name - Prénom	Political affiliation	Appartenance politique	Votes obtained - Votes obtenus	% Votes obtained - Votes obtenus %	Rejected ballots - Bulletins rejetés***	Total number of ballots cast - Nombre total de votes déposés
13004	Fundy Royal	Fundy Royal	preliminary	préliminaires	Moore		Rob	Conservative	Conservateur	21727	46	0	47192
13004	Fundy Royal	Fundy Royal	preliminary	préliminaires	Neumayer		Rudy	People's Party	Parti populaire	1239	2.6	0	47192
13004	Fundy Royal	Fundy Royal	preliminary	préliminaires	Thompson		Tim	Green Party	Parti Vert	7060	15	0	47192
13004	Fundy Royal	Fundy Royal	preliminary	préliminaires	Tolan		James	NDP-New Democratic Party	NPD-Nouveau Parti démocratique	4660	9.9	0	47192
13005	Madawaska--Restigouche	Madawaska--Restigouche	preliminary	préliminaires	Arseneault		René	Liberal	Libéral	17331	50.2	0	34535
13005	Madawaska--Restigouche	Madawaska--Restigouche	preliminary	préliminaires	Betteridge		Chad	NDP-New Democratic Party	NPD-Nouveau Parti démocratique	2314	6.7	0	34535
13005	Madawaska--Restigouche	Madawaska--Restigouche	preliminary	préliminaires	Bérubé		Louis	Green Party	Parti Vert	5090	14.7	0	34535
13005	Madawaska--Restigouche	Madawaska--Restigouche	preliminary	préliminaires	Fox		Nelson	Conservative	Conservateur	9800	28.4	0	34535
13006	Miramichi--Grand Lake	Miramichi--Grand Lake	preliminary	préliminaires	Clancy Teslenko		Eileen	NDP-New Democratic Party	NPD-Nouveau Parti démocratique	2874	8.3	0	34597
13006	Miramichi--Grand Lake	Miramichi--Grand Lake	preliminary	préliminaires	Deitch		Patty	Green Party	Parti Vert	3915	11.3	0	34597
13006	Miramichi--Grand Lake	Miramichi--Grand Lake	preliminary	préliminaires	Finnigan		Pat	Liberal	Libéral	12725	36.8	0	34597
